@relation control_asistencia_monngo.asistencias-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5

@attribute nombre {'Jorge Morales','Rafael Ortiz','Claudia Reyes','Mario Salazar','Diego Campos','Luis Silva','Laura Sanchez','Juan Pena','Sofia Herrera','Sara Villalba','Felipe Mendoza','Tomas Gallardo','Hector Gutierrez','Diana Moreno','Gabriel Romero','Elena Vargas','Lucia Medina','Monica Cabrera','Jose Lopez','Paula Fernandez','Carlos Diaz','Ana Torres','Miguel Castro','Daniela Pardo','Camila Navarro','Isabel Fuentes','Pedro Gomez','Andrea Rios','Valeria Soto','Pablo Torres'}
@attribute clase {Matematicas-A,Quimica-C,Historia-B}
@attribute dia_semana {martes,viernes,lunes,miercoles,jueves}
@attribute hora {'10:15 a. m.','11:30 a. m.','10:00 a. m.','02:45 a. m.','10:15 p. m.','09:15 p. m.','07:00 p. m.','08:45 a. m.','06:15 a. m.','06:00 p. m.','01:15 a. m.','02:00 p. m.','06:45 p. m.','04:30 a. m.','04:45 p. m.','11:45 p. m.','09:00 a. m.','11:15 a. m.','08:00 a. m.','06:30 a. m.','02:30 a. m.','11:30 p. m.','05:15 p. m.','04:30 p. m.','01:00 a. m.','05:30 a. m.','02:00 a. m.','04:15 p. m.','10:30 a. m.','01:15 p. m.','09:00 p. m.','02:15 p. m.','10:30 p. m.','03:00 a. m.','12:30 a. m.','10:00 p. m.','11:00 a. m.','09:30 p. m.','03:00 p. m.','01:30 p. m.','03:45 a. m.','07:45 p. m.','05:45 a. m.','03:45 p. m.','05:15 a. m.','03:15 p. m.','08:15 p. m.','10:45 a. m.','12:00 a. m.','07:30 p. m.','07:15 p. m.','09:30 a. m.','04:45 a. m.','09:15 a. m.','07:15 a. m.','03:30 p. m.','05:00 p. m.','01:45 a. m.','08:00 p. m.','03:15 a. m.','07:30 a. m.','12:00 p. m.','04:00 p. m.','07:45 a. m.','09:45 a. m.','12:45 a. m.','04:15 a. m.','12:45 p. m.','08:15 a. m.','12:15 a. m.','08:30 p. m.','04:00 a. m.','11:45 a. m.','05:45 p. m.','01:45 p. m.','02:30 p. m.','06:45 a. m.','08:45 p. m.','08:30 a. m.','10:45 p. m.','05:30 p. m.','06:15 p. m.','12:15 p. m.','02:45 p. m.','05:00 a. m.','01:00 p. m.','11:15 p. m.','11:00 p. m.','01:30 a. m.','06:30 p. m.','03:30 a. m.','06:00 a. m.','07:00 a. m.','02:15 a. m.','09:45 p. m.','12:30 p. m.'}
@attribute mes {febrero,enero,abril,marzo,diciembre,mayo,julio,octubre,septiembre,noviembre,junio,agosto}
@attribute estado {Ausente,Presente,Tarde}

@data
'Monica Cabrera',Matematicas-A,viernes,'12:45 p. m.',febrero,Ausente
'Sofia Herrera',Historia-B,viernes,'05:15 p. m.',diciembre,Presente
'Jorge Morales',Quimica-C,martes,'09:45 p. m.',agosto,Presente
'Camila Navarro',Historia-B,miercoles,'08:15 a. m.',febrero,Presente
'Jose Lopez',Matematicas-A,viernes,'02:00 a. m.',mayo,Presente
'Pablo Torres',Quimica-C,viernes,'09:00 a. m.',octubre,Presente
'Elena Vargas',Matematicas-A,lunes,'05:30 p. m.',febrero,Presente
'Mario Salazar',Quimica-C,lunes,'08:30 p. m.',abril,Presente
'Hector Gutierrez',Historia-B,jueves,'12:15 a. m.',septiembre,Ausente
'Valeria Soto',Historia-B,martes,'12:30 p. m.',julio,Ausente
'Rafael Ortiz',Historia-B,miercoles,'11:30 p. m.',enero,Ausente
'Daniela Pardo',Historia-B,martes,'10:00 p. m.',agosto,Ausente
'Claudia Reyes',Matematicas-A,miercoles,'07:45 a. m.',febrero,Presente
'Elena Vargas',Historia-B,viernes,'09:00 p. m.',octubre,Presente
'Miguel Castro',Historia-B,viernes,'10:00 p. m.',junio,Ausente
'Lucia Medina',Historia-B,martes,'05:30 a. m.',diciembre,Presente
'Juan Pena',Historia-B,viernes,'02:15 p. m.',febrero,Presente
'Rafael Ortiz',Quimica-C,lunes,'04:00 p. m.',julio,Presente
'Hector Gutierrez',Quimica-C,jueves,'08:30 p. m.',enero,Presente
'Pablo Torres',Matematicas-A,lunes,'03:00 p. m.',noviembre,Presente
'Juan Pena',Matematicas-A,lunes,'05:00 a. m.',noviembre,Presente
'Paula Fernandez',Matematicas-A,lunes,'11:15 p. m.',noviembre,Ausente
'Luis Silva',Historia-B,miercoles,'04:45 p. m.',julio,Presente
'Diego Campos',Historia-B,lunes,'08:00 a. m.',febrero,Presente
'Lucia Medina',Quimica-C,lunes,'04:30 p. m.',mayo,Presente
'Lucia Medina',Matematicas-A,lunes,'10:00 a. m.',enero,Ausente
'Pedro Gomez',Quimica-C,viernes,'05:45 p. m.',agosto,Presente
'Tomas Gallardo',Quimica-C,viernes,'06:00 p. m.',marzo,Presente
'Felipe Mendoza',Quimica-C,jueves,'02:15 p. m.',febrero,Presente
'Tomas Gallardo',Matematicas-A,lunes,'11:30 p. m.',febrero,Ausente
'Valeria Soto',Historia-B,lunes,'07:00 p. m.',marzo,Presente
'Ana Torres',Historia-B,jueves,'06:15 a. m.',noviembre,Presente
'Daniela Pardo',Historia-B,lunes,'08:45 a. m.',enero,Presente
'Camila Navarro',Quimica-C,lunes,'03:00 a. m.',agosto,Presente
'Diego Campos',Historia-B,martes,'10:15 p. m.',agosto,Ausente
'Miguel Castro',Historia-B,lunes,'08:30 a. m.',mayo,Presente
'Pablo Torres',Matematicas-A,lunes,'04:15 p. m.',mayo,Presente
'Ana Torres',Historia-B,viernes,'09:00 a. m.',septiembre,Presente
'Sara Villalba',Historia-B,martes,'07:45 p. m.',abril,Presente
'Sofia Herrera',Historia-B,jueves,'07:15 p. m.',enero,Presente
'Pedro Gomez',Matematicas-A,viernes,'03:30 p. m.',marzo,Presente
'Andrea Rios',Quimica-C,miercoles,'10:30 p. m.',agosto,Presente
'Miguel Castro',Quimica-C,miercoles,'06:45 a. m.',septiembre,Presente
'Valeria Soto',Matematicas-A,jueves,'09:45 p. m.',junio,Ausente
'Luis Silva',Quimica-C,jueves,'12:15 a. m.',diciembre,Ausente
'Jose Lopez',Matematicas-A,lunes,'06:45 p. m.',junio,Presente
'Ana Torres',Matematicas-A,jueves,'11:30 a. m.',agosto,Ausente
'Ana Torres',Matematicas-A,miercoles,'09:15 a. m.',diciembre,Ausente
'Hector Gutierrez',Quimica-C,jueves,'04:45 p. m.',enero,Presente
'Lucia Medina',Historia-B,lunes,'11:30 a. m.',febrero,Ausente
'Claudia Reyes',Matematicas-A,jueves,'07:00 p. m.',diciembre,Presente
'Ana Torres',Matematicas-A,miercoles,'06:00 p. m.',marzo,Presente
'Juan Pena',Quimica-C,jueves,'06:30 a. m.',mayo,Presente
'Ana Torres',Historia-B,lunes,'06:00 a. m.',marzo,Presente
'Jorge Morales',Quimica-C,jueves,'05:45 p. m.',abril,Presente
'Elena Vargas',Matematicas-A,viernes,'02:45 a. m.',junio,Presente
'Carlos Diaz',Quimica-C,martes,'07:00 p. m.',julio,Presente
'Sofia Herrera',Historia-B,martes,'06:30 a. m.',septiembre,Presente
'Carlos Diaz',Historia-B,martes,'12:30 p. m.',octubre,Ausente
'Andrea Rios',Quimica-C,martes,'10:00 p. m.',mayo,Presente
'Hector Gutierrez',Matematicas-A,miercoles,'11:15 a. m.',abril,Ausente
'Camila Navarro',Quimica-C,miercoles,'09:15 a. m.',julio,Presente
'Monica Cabrera',Quimica-C,martes,'12:45 a. m.',octubre,Ausente
'Ana Torres',Matematicas-A,miercoles,'08:45 p. m.',abril,Ausente
'Valeria Soto',Matematicas-A,lunes,'03:45 a. m.',diciembre,Presente
'Camila Navarro',Historia-B,viernes,'03:30 a. m.',diciembre,Presente
'Andrea Rios',Quimica-C,martes,'02:30 a. m.',marzo,Presente
'Miguel Castro',Historia-B,lunes,'10:00 p. m.',octubre,Ausente
'Sofia Herrera',Matematicas-A,martes,'06:45 a. m.',octubre,Presente
'Pablo Torres',Matematicas-A,jueves,'10:00 a. m.',abril,Ausente
'Gabriel Romero',Quimica-C,martes,'07:30 a. m.',agosto,Presente
'Monica Cabrera',Matematicas-A,martes,'01:00 a. m.',agosto,Presente
'Andrea Rios',Historia-B,lunes,'08:00 a. m.',marzo,Presente
'Pedro Gomez',Quimica-C,jueves,'11:15 p. m.',diciembre,Ausente
'Paula Fernandez',Quimica-C,jueves,'11:15 a. m.',octubre,Ausente
'Elena Vargas',Historia-B,lunes,'07:30 a. m.',abril,Presente
'Monica Cabrera',Historia-B,lunes,'10:15 p. m.',julio,Ausente
'Daniela Pardo',Historia-B,martes,'05:45 p. m.',enero,Presente
'Laura Sanchez',Historia-B,lunes,'11:30 a. m.',diciembre,Ausente
'Sofia Herrera',Matematicas-A,lunes,'08:30 p. m.',octubre,Tarde
'Isabel Fuentes',Matematicas-A,jueves,'12:45 a. m.',febrero,Ausente
'Mario Salazar',Quimica-C,miercoles,'11:30 a. m.',marzo,Ausente
'Lucia Medina',Historia-B,miercoles,'04:45 a. m.',marzo,Presente
'Claudia Reyes',Quimica-C,jueves,'08:30 a. m.',noviembre,Presente
'Elena Vargas',Quimica-C,lunes,'10:45 p. m.',diciembre,Tarde
'Paula Fernandez',Matematicas-A,martes,'02:00 a. m.',julio,Presente
'Rafael Ortiz',Matematicas-A,miercoles,'04:45 p. m.',enero,Presente
'Lucia Medina',Matematicas-A,miercoles,'08:00 a. m.',noviembre,Presente
'Ana Torres',Matematicas-A,lunes,'02:00 a. m.',junio,Presente
'Diego Campos',Quimica-C,lunes,'07:00 a. m.',febrero,Presente
'Andrea Rios',Matematicas-A,miercoles,'03:00 p. m.',noviembre,Presente
'Monica Cabrera',Quimica-C,lunes,'03:15 p. m.',septiembre,Presente
'Isabel Fuentes',Matematicas-A,miercoles,'10:15 a. m.',noviembre,Ausente
'Carlos Diaz',Matematicas-A,miercoles,'10:00 a. m.',octubre,Ausente
'Monica Cabrera',Quimica-C,jueves,'05:30 a. m.',mayo,Presente
'Valeria Soto',Matematicas-A,miercoles,'12:00 p. m.',junio,Ausente
'Claudia Reyes',Historia-B,viernes,'07:00 a. m.',febrero,Presente
'Diego Campos',Matematicas-A,viernes,'03:00 p. m.',diciembre,Presente
'Valeria Soto',Historia-B,miercoles,'12:15 a. m.',diciembre,Ausente
'Sofia Herrera',Historia-B,miercoles,'12:45 a. m.',julio,Ausente
'Andrea Rios',Quimica-C,martes,'10:30 p. m.',marzo,Presente
'Felipe Mendoza',Historia-B,lunes,'12:15 p. m.',noviembre,Ausente
'Laura Sanchez',Historia-B,lunes,'04:00 p. m.',marzo,Presente
'Laura Sanchez',Matematicas-A,lunes,'12:45 p. m.',febrero,Ausente
'Jorge Morales',Historia-B,viernes,'05:30 a. m.',agosto,Presente
'Diego Campos',Matematicas-A,martes,'03:00 p. m.',septiembre,Presente
'Andrea Rios',Quimica-C,lunes,'11:00 a. m.',febrero,Tarde
'Laura Sanchez',Quimica-C,viernes,'01:15 a. m.',abril,Presente
'Laura Sanchez',Quimica-C,lunes,'01:45 a. m.',noviembre,Presente
'Gabriel Romero',Quimica-C,viernes,'08:00 a. m.',marzo,Presente
'Tomas Gallardo',Historia-B,jueves,'03:45 p. m.',marzo,Presente
'Juan Pena',Historia-B,lunes,'02:45 a. m.',agosto,Presente
'Paula Fernandez',Quimica-C,viernes,'01:00 a. m.',noviembre,Presente
'Laura Sanchez',Historia-B,jueves,'08:30 p. m.',junio,Presente
'Camila Navarro',Quimica-C,lunes,'10:00 a. m.',octubre,Presente
'Pedro Gomez',Quimica-C,lunes,'06:00 a. m.',abril,Presente
'Elena Vargas',Matematicas-A,viernes,'04:45 p. m.',agosto,Presente
'Paula Fernandez',Quimica-C,jueves,'09:15 a. m.',noviembre,Presente
'Andrea Rios',Historia-B,lunes,'06:00 p. m.',septiembre,Presente
'Daniela Pardo',Historia-B,martes,'01:15 p. m.',septiembre,Presente
'Andrea Rios',Quimica-C,viernes,'02:45 p. m.',enero,Presente
'Luis Silva',Quimica-C,lunes,'03:30 a. m.',marzo,Presente
'Elena Vargas',Matematicas-A,lunes,'05:15 p. m.',octubre,Presente
'Ana Torres',Historia-B,jueves,'05:30 a. m.',mayo,Presente
'Gabriel Romero',Historia-B,miercoles,'12:30 p. m.',septiembre,Ausente
'Pedro Gomez',Historia-B,lunes,'09:30 a. m.',mayo,Tarde
'Miguel Castro',Matematicas-A,jueves,'12:45 p. m.',febrero,Ausente
'Valeria Soto',Quimica-C,jueves,'08:45 a. m.',mayo,Presente
'Andrea Rios',Historia-B,lunes,'12:45 a. m.',mayo,Ausente
'Claudia Reyes',Matematicas-A,miercoles,'05:45 p. m.',octubre,Presente
'Claudia Reyes',Matematicas-A,miercoles,'05:30 a. m.',diciembre,Presente
'Jorge Morales',Historia-B,lunes,'08:00 a. m.',mayo,Presente
'Monica Cabrera',Historia-B,miercoles,'03:15 p. m.',marzo,Presente
'Isabel Fuentes',Historia-B,jueves,'12:00 a. m.',octubre,Ausente
'Laura Sanchez',Quimica-C,miercoles,'09:15 a. m.',junio,Presente
'Ana Torres',Historia-B,martes,'04:30 p. m.',mayo,Presente
'Hector Gutierrez',Quimica-C,miercoles,'02:30 a. m.',marzo,Presente
'Miguel Castro',Historia-B,jueves,'11:15 p. m.',octubre,Ausente
'Carlos Diaz',Historia-B,viernes,'11:45 a. m.',diciembre,Ausente
'Lucia Medina',Matematicas-A,jueves,'11:45 a. m.',mayo,Ausente
'Andrea Rios',Matematicas-A,martes,'07:30 p. m.',junio,Presente
'Jorge Morales',Quimica-C,miercoles,'07:15 p. m.',junio,Presente
'Andrea Rios',Quimica-C,martes,'08:45 a. m.',junio,Presente
'Diana Moreno',Historia-B,martes,'07:45 p. m.',abril,Presente
'Felipe Mendoza',Matematicas-A,lunes,'11:45 p. m.',julio,Ausente
'Andrea Rios',Historia-B,martes,'01:00 p. m.',febrero,Presente
'Pablo Torres',Quimica-C,lunes,'09:30 p. m.',marzo,Presente
'Andrea Rios',Matematicas-A,martes,'07:30 a. m.',abril,Presente
'Juan Pena',Matematicas-A,martes,'11:30 p. m.',diciembre,Ausente
'Diana Moreno',Historia-B,martes,'11:30 a. m.',julio,Ausente
'Monica Cabrera',Historia-B,jueves,'12:45 a. m.',septiembre,Ausente
'Juan Pena',Historia-B,miercoles,'06:15 p. m.',octubre,Presente
'Diana Moreno',Quimica-C,viernes,'02:30 a. m.',junio,Presente
'Isabel Fuentes',Matematicas-A,martes,'09:00 p. m.',enero,Ausente
'Hector Gutierrez',Historia-B,martes,'10:45 a. m.',julio,Ausente
'Laura Sanchez',Historia-B,viernes,'08:00 p. m.',agosto,Presente
'Lucia Medina',Quimica-C,miercoles,'09:45 p. m.',julio,Presente
'Camila Navarro',Matematicas-A,viernes,'05:45 a. m.',enero,Presente
'Jorge Morales',Matematicas-A,viernes,'05:15 p. m.',mayo,Presente
'Tomas Gallardo',Quimica-C,miercoles,'04:30 a. m.',marzo,Presente
'Hector Gutierrez',Quimica-C,jueves,'04:15 p. m.',abril,Presente
'Pablo Torres',Historia-B,martes,'02:00 p. m.',septiembre,Presente
'Carlos Diaz',Matematicas-A,lunes,'08:15 p. m.',noviembre,Tarde
'Isabel Fuentes',Historia-B,lunes,'11:45 a. m.',marzo,Ausente
'Ana Torres',Matematicas-A,miercoles,'05:30 a. m.',marzo,Presente
'Juan Pena',Quimica-C,martes,'11:00 p. m.',julio,Tarde
'Carlos Diaz',Quimica-C,martes,'01:30 p. m.',junio,Presente
'Gabriel Romero',Matematicas-A,lunes,'02:00 p. m.',diciembre,Presente
'Juan Pena',Historia-B,lunes,'05:45 a. m.',junio,Presente
'Sofia Herrera',Historia-B,martes,'10:00 p. m.',julio,Ausente
'Juan Pena',Historia-B,miercoles,'04:30 p. m.',mayo,Presente
'Diego Campos',Historia-B,viernes,'07:00 a. m.',mayo,Presente
'Monica Cabrera',Historia-B,lunes,'06:15 a. m.',enero,Presente
'Valeria Soto',Historia-B,miercoles,'12:45 p. m.',abril,Ausente
'Paula Fernandez',Matematicas-A,martes,'02:15 a. m.',junio,Presente
'Diego Campos',Quimica-C,viernes,'07:15 p. m.',mayo,Presente
'Luis Silva',Quimica-C,jueves,'05:00 p. m.',diciembre,Presente
'Jorge Morales',Quimica-C,viernes,'10:30 p. m.',mayo,Presente
'Diego Campos',Matematicas-A,lunes,'10:45 p. m.',julio,Ausente
'Elena Vargas',Quimica-C,martes,'11:15 a. m.',abril,Ausente
'Hector Gutierrez',Historia-B,lunes,'12:15 p. m.',abril,Ausente
'Monica Cabrera',Matematicas-A,lunes,'09:45 a. m.',julio,Ausente
'Mario Salazar',Quimica-C,martes,'08:00 p. m.',agosto,Presente
'Miguel Castro',Historia-B,viernes,'03:15 a. m.',marzo,Presente
'Laura Sanchez',Quimica-C,viernes,'12:15 p. m.',agosto,Ausente
'Tomas Gallardo',Quimica-C,lunes,'09:30 p. m.',diciembre,Presente
'Hector Gutierrez',Historia-B,martes,'01:30 p. m.',septiembre,Presente
'Camila Navarro',Quimica-C,lunes,'09:30 p. m.',septiembre,Presente
'Mario Salazar',Matematicas-A,miercoles,'11:00 p. m.',agosto,Ausente
'Paula Fernandez',Matematicas-A,viernes,'08:30 a. m.',mayo,Tarde
'Valeria Soto',Matematicas-A,martes,'01:00 a. m.',octubre,Presente
'Monica Cabrera',Historia-B,lunes,'12:15 a. m.',marzo,Ausente
'Daniela Pardo',Matematicas-A,lunes,'10:00 a. m.',febrero,Ausente
'Sofia Herrera',Historia-B,viernes,'06:30 p. m.',enero,Presente
'Pablo Torres',Quimica-C,miercoles,'12:00 a. m.',diciembre,Ausente
'Tomas Gallardo',Matematicas-A,viernes,'09:00 p. m.',julio,Ausente
'Elena Vargas',Matematicas-A,martes,'01:15 a. m.',noviembre,Presente
'Gabriel Romero',Historia-B,jueves,'04:15 p. m.',julio,Presente
'Miguel Castro',Quimica-C,martes,'02:15 a. m.',agosto,Presente
'Sofia Herrera',Quimica-C,martes,'04:15 a. m.',mayo,Presente
'Miguel Castro',Historia-B,viernes,'09:00 a. m.',febrero,Presente
'Camila Navarro',Historia-B,martes,'07:30 a. m.',agosto,Presente
'Paula Fernandez',Historia-B,viernes,'07:15 p. m.',mayo,Presente
'Lucia Medina',Historia-B,lunes,'02:15 a. m.',diciembre,Presente
'Sara Villalba',Quimica-C,jueves,'09:45 p. m.',abril,Presente
'Daniela Pardo',Historia-B,lunes,'04:15 a. m.',julio,Presente
'Andrea Rios',Historia-B,lunes,'01:30 a. m.',noviembre,Presente
'Carlos Diaz',Historia-B,lunes,'10:30 p. m.',noviembre,Ausente
'Juan Pena',Historia-B,lunes,'09:45 a. m.',marzo,Ausente
'Tomas Gallardo',Matematicas-A,lunes,'09:30 p. m.',junio,Ausente
'Tomas Gallardo',Historia-B,lunes,'09:45 a. m.',septiembre,Ausente
'Rafael Ortiz',Matematicas-A,martes,'08:45 p. m.',noviembre,Ausente
'Monica Cabrera',Matematicas-A,jueves,'11:45 a. m.',diciembre,Ausente
'Pablo Torres',Matematicas-A,jueves,'08:45 a. m.',mayo,Ausente
'Camila Navarro',Quimica-C,viernes,'06:45 a. m.',junio,Presente
'Felipe Mendoza',Historia-B,lunes,'03:30 p. m.',julio,Presente
'Diego Campos',Matematicas-A,miercoles,'09:45 a. m.',marzo,Ausente
'Lucia Medina',Matematicas-A,jueves,'05:00 p. m.',enero,Presente
'Ana Torres',Matematicas-A,lunes,'12:30 p. m.',enero,Ausente
'Felipe Mendoza',Matematicas-A,viernes,'12:15 a. m.',marzo,Ausente
'Jorge Morales',Quimica-C,miercoles,'02:45 p. m.',abril,Presente
'Elena Vargas',Historia-B,viernes,'06:45 p. m.',octubre,Presente
'Rafael Ortiz',Quimica-C,jueves,'08:45 a. m.',abril,Presente
'Lucia Medina',Historia-B,lunes,'02:30 a. m.',octubre,Presente
'Pablo Torres',Historia-B,jueves,'07:30 a. m.',diciembre,Presente
'Laura Sanchez',Historia-B,lunes,'06:30 a. m.',agosto,Presente
'Gabriel Romero',Quimica-C,miercoles,'09:45 p. m.',abril,Presente
'Andrea Rios',Historia-B,martes,'03:15 a. m.',mayo,Presente
'Valeria Soto',Historia-B,lunes,'12:15 p. m.',mayo,Ausente
'Elena Vargas',Quimica-C,jueves,'10:00 a. m.',julio,Presente
'Tomas Gallardo',Quimica-C,miercoles,'09:30 p. m.',marzo,Presente
'Isabel Fuentes',Quimica-C,lunes,'07:15 a. m.',noviembre,Presente
'Paula Fernandez',Historia-B,jueves,'03:15 p. m.',enero,Presente
'Elena Vargas',Matematicas-A,jueves,'01:45 a. m.',febrero,Presente
'Mario Salazar',Quimica-C,viernes,'04:30 p. m.',junio,Presente
'Lucia Medina',Matematicas-A,jueves,'02:30 a. m.',enero,Presente
'Valeria Soto',Quimica-C,jueves,'10:00 p. m.',abril,Presente
'Mario Salazar',Historia-B,lunes,'02:30 p. m.',octubre,Presente
'Diego Campos',Matematicas-A,martes,'09:45 a. m.',junio,Ausente
'Pablo Torres',Quimica-C,miercoles,'05:15 p. m.',mayo,Presente
'Monica Cabrera',Matematicas-A,viernes,'09:30 p. m.',diciembre,Ausente
'Luis Silva',Matematicas-A,jueves,'06:00 p. m.',agosto,Presente
'Jose Lopez',Quimica-C,lunes,'06:45 a. m.',mayo,Presente
'Laura Sanchez',Matematicas-A,miercoles,'08:30 p. m.',abril,Tarde
'Mario Salazar',Matematicas-A,miercoles,'03:45 p. m.',abril,Presente
'Jose Lopez',Matematicas-A,miercoles,'12:15 p. m.',agosto,Ausente
'Diana Moreno',Historia-B,martes,'12:00 p. m.',agosto,Ausente
'Monica Cabrera',Historia-B,miercoles,'10:15 a. m.',febrero,Ausente
'Andrea Rios',Quimica-C,miercoles,'12:45 p. m.',agosto,Ausente
'Miguel Castro',Historia-B,jueves,'11:45 p. m.',diciembre,Ausente
'Daniela Pardo',Quimica-C,jueves,'03:15 a. m.',noviembre,Presente
'Daniela Pardo',Historia-B,miercoles,'08:15 p. m.',octubre,Presente
'Hector Gutierrez',Historia-B,lunes,'02:45 p. m.',marzo,Presente
'Luis Silva',Matematicas-A,lunes,'04:15 p. m.',marzo,Presente
'Sara Villalba',Matematicas-A,viernes,'12:15 a. m.',junio,Ausente
'Rafael Ortiz',Matematicas-A,jueves,'01:15 p. m.',noviembre,Presente
'Daniela Pardo',Quimica-C,jueves,'07:45 p. m.',septiembre,Presente
'Camila Navarro',Matematicas-A,viernes,'07:00 p. m.',enero,Presente
'Sofia Herrera',Quimica-C,viernes,'10:00 p. m.',septiembre,Presente
'Daniela Pardo',Quimica-C,jueves,'01:45 a. m.',diciembre,Presente
'Gabriel Romero',Quimica-C,martes,'02:00 a. m.',enero,Presente
'Hector Gutierrez',Historia-B,viernes,'09:00 a. m.',noviembre,Presente
'Mario Salazar',Historia-B,jueves,'02:30 p. m.',junio,Presente
'Carlos Diaz',Historia-B,martes,'07:30 p. m.',febrero,Presente
'Elena Vargas',Matematicas-A,martes,'09:00 p. m.',septiembre,Ausente
'Claudia Reyes',Quimica-C,lunes,'07:00 p. m.',agosto,Presente
'Tomas Gallardo',Matematicas-A,miercoles,'05:00 p. m.',febrero,Presente
'Rafael Ortiz',Historia-B,viernes,'12:15 p. m.',marzo,Ausente
'Sara Villalba',Matematicas-A,jueves,'07:30 a. m.',abril,Presente
'Paula Fernandez',Quimica-C,viernes,'09:15 a. m.',julio,Presente
'Jose Lopez',Matematicas-A,martes,'02:00 p. m.',octubre,Presente
'Lucia Medina',Quimica-C,jueves,'10:45 a. m.',junio,Tarde
'Felipe Mendoza',Historia-B,lunes,'09:00 p. m.',julio,Presente
'Diego Campos',Matematicas-A,martes,'07:15 p. m.',marzo,Presente
'Hector Gutierrez',Historia-B,miercoles,'06:30 p. m.',mayo,Presente
'Pablo Torres',Matematicas-A,martes,'09:45 p. m.',enero,Ausente
'Gabriel Romero',Quimica-C,viernes,'03:45 a. m.',noviembre,Presente
'Miguel Castro',Matematicas-A,martes,'10:00 p. m.',enero,Ausente
'Lucia Medina',Matematicas-A,viernes,'10:15 a. m.',diciembre,Ausente
'Andrea Rios',Quimica-C,jueves,'07:30 p. m.',abril,Presente
'Gabriel Romero',Historia-B,jueves,'01:00 p. m.',octubre,Presente
'Claudia Reyes',Matematicas-A,miercoles,'01:00 a. m.',junio,Presente
'Jose Lopez',Historia-B,martes,'11:15 p. m.',julio,Ausente
'Felipe Mendoza',Historia-B,viernes,'09:15 p. m.',noviembre,Tarde
'Mario Salazar',Matematicas-A,miercoles,'01:30 a. m.',julio,Presente
'Laura Sanchez',Quimica-C,lunes,'10:45 p. m.',octubre,Tarde
'Claudia Reyes',Historia-B,jueves,'06:45 p. m.',febrero,Presente
'Tomas Gallardo',Quimica-C,viernes,'11:00 a. m.',octubre,Tarde
'Paula Fernandez',Historia-B,jueves,'06:15 a. m.',junio,Presente
'Isabel Fuentes',Matematicas-A,jueves,'11:45 a. m.',julio,Ausente
'Ana Torres',Matematicas-A,martes,'03:45 p. m.',septiembre,Presente
'Paula Fernandez',Quimica-C,miercoles,'03:30 a. m.',octubre,Presente
'Carlos Diaz',Quimica-C,miercoles,'08:15 a. m.',marzo,Presente
'Sara Villalba',Quimica-C,viernes,'06:45 a. m.',diciembre,Presente
'Mario Salazar',Historia-B,lunes,'11:30 p. m.',enero,Ausente
'Felipe Mendoza',Historia-B,jueves,'03:45 p. m.',abril,Presente
'Hector Gutierrez',Quimica-C,viernes,'12:45 p. m.',junio,Ausente
'Felipe Mendoza',Quimica-C,lunes,'06:00 a. m.',julio,Presente
'Camila Navarro',Matematicas-A,miercoles,'02:45 a. m.',septiembre,Presente
'Luis Silva',Matematicas-A,lunes,'08:45 p. m.',enero,Ausente
'Elena Vargas',Historia-B,jueves,'08:30 a. m.',marzo,Presente
'Andrea Rios',Matematicas-A,lunes,'11:15 a. m.',julio,Ausente
'Diana Moreno',Historia-B,lunes,'09:30 a. m.',septiembre,Tarde
'Tomas Gallardo',Matematicas-A,jueves,'03:00 p. m.',noviembre,Presente
'Carlos Diaz',Historia-B,miercoles,'01:30 p. m.',diciembre,Presente
'Jose Lopez',Matematicas-A,viernes,'07:45 a. m.',febrero,Presente
'Gabriel Romero',Historia-B,miercoles,'08:00 a. m.',octubre,Presente
'Mario Salazar',Quimica-C,viernes,'08:45 p. m.',mayo,Presente
'Diana Moreno',Historia-B,lunes,'01:30 p. m.',julio,Presente
'Jose Lopez',Historia-B,jueves,'10:30 p. m.',agosto,Ausente
'Paula Fernandez',Quimica-C,viernes,'04:15 a. m.',noviembre,Presente
'Luis Silva',Matematicas-A,jueves,'09:15 a. m.',mayo,Ausente
'Valeria Soto',Historia-B,miercoles,'01:00 p. m.',septiembre,Presente
'Pedro Gomez',Quimica-C,lunes,'01:30 a. m.',febrero,Presente
'Ana Torres',Historia-B,viernes,'11:45 p. m.',noviembre,Ausente
'Lucia Medina',Quimica-C,viernes,'07:00 a. m.',agosto,Presente
'Hector Gutierrez',Historia-B,martes,'04:15 a. m.',noviembre,Presente
'Monica Cabrera',Matematicas-A,martes,'05:30 p. m.',agosto,Presente
'Daniela Pardo',Historia-B,viernes,'04:15 p. m.',noviembre,Presente
'Andrea Rios',Historia-B,miercoles,'07:30 a. m.',octubre,Presente
'Paula Fernandez',Matematicas-A,martes,'02:30 a. m.',julio,Presente
'Monica Cabrera',Historia-B,viernes,'05:00 a. m.',enero,Presente
'Pedro Gomez',Historia-B,viernes,'10:00 a. m.',junio,Ausente
'Jorge Morales',Quimica-C,lunes,'07:15 p. m.',noviembre,Presente
'Jose Lopez',Historia-B,lunes,'01:30 p. m.',junio,Presente
'Carlos Diaz',Historia-B,miercoles,'01:00 p. m.',octubre,Presente
